ID,Название,Цена,Город,Промо цена,Ссылка
10931,Конструктор LEGO DUPLO Грузовик и гусеничный экскаватор ,1 759,Регион не выбран,989,https://www.detmir.ru/product/index/id/3244472/
42114,Конструктор LEGO Technic Самосвал Volvo 6*6 ,22 999,Регион не выбран,13 289,https://www.detmir.ru/product/index/id/3244612/
10913,Конструктор LEGO DUPLO Classic Коробка с кубиками ,2 599,Регион не выбран,1 639,https://www.detmir.ru/product/index/id/3226556/
71746,Конструктор LEGO Ninjago Дракон из джунглей ,3 599,Регион не выбран,2 339,https://www.detmir.ru/product/index/id/3405621/
21165,Конструктор LEGO Minecraft Пасека ,1 799,Регион не выбран,1 339,https://www.detmir.ru/product/index/id/3386280/
41450,Конструктор LEGO Friends Торговый центр Хартлейк Сити ,9 499,Регион не выбран,5 779,https://www.detmir.ru/product/index/id/3405551/
75969,Конструктор LEGO Harry Potter Астрономическая башня Хогвартса ,9 499,Регион не выбран,5 699,https://www.detmir.ru/product/index/id/3244599/
60243,Конструктор LEGO City Police Погоня на полицейском вертолете ,2 499,Регион не выбран,1 529,https://www.detmir.ru/product/index/id/3226650/
60292,Конструктор LEGO My City Центр города ,8 999,Регион не выбран,5 229,https://www.detmir.ru/product/index/id/3405579/
21172,Конструктор LEGO Minecraft Разрушенный портал ,2 699,Регион не выбран,1 899,https://www.detmir.ru/product/index/id/3596765/
21168,Конструктор LEGO Minecraft ,2 699,Регион не выбран,1 659,https://www.detmir.ru/product/index/id/3405637/
21176,Конструктор LEGO Minecraft Мерзость из джунглей ,3 699,Регион не выбран,2 349,https://www.detmir.ru/product/index/id/3596768/
60246,Конструктор LEGO City Police Полицейский участок ,8 999,Регион не выбран,5 239,https://www.detmir.ru/product/index/id/3226653/
41395,Конструктор LEGO Friends Автобус для друзей ,6 499,Регион не выбран,3 899,https://www.detmir.ru/product/index/id/3226605/
75947,Конструктор LEGO Harry Potter Хижина Хагрида спасение Клювокрыла ,5 499,Регион не выбран,4 099,https://www.detmir.ru/product/index/id/3176039/
42096,Конструктор LEGO Technic Porsche 911 RSR ,13 999,Регион не выбран,8 759,https://www.detmir.ru/product/index/id/3150682/
31115,Конструктор LEGO Creator Космический робот для горных работ ,2 199,Регион не выбран,1 559,https://www.detmir.ru/product/index/id/3405540/
76387,Конструктор LEGO Harry Potter Хогвартс: пушистая встреча ,3 699,Регион не выбран,2 349,https://www.detmir.ru/product/index/id/3597033/
41422,Конструктор LEGO Friends Домик для панд на дереве ,2 599,Регион не выбран,1 589,https://www.detmir.ru/product/index/id/3244508/
10882,Конструктор LEGO DUPLO Town Рельсы ,1 799,Регион не выбран,1 049,https://www.detmir.ru/product/index/id/3092804/
76386,Конструктор LEGO Harry Potter Хогвартс: ошибка с оборотным зельем ,1 799,Регион не выбран,1 349,https://www.detmir.ru/product/index/id/3597032/
76388,Конструктор LEGO Harry Potter Визит в деревню Хогсмид ,7 499,Регион не выбран,4 679,https://www.detmir.ru/product/index/id/3597034/
41392,Конструктор LEGO Friends Роскошный отдых на природе ,2 599,Регион не выбран,1 559,https://www.detmir.ru/product/index/id/3226597/
21171,Конструктор LEGO Minecraft Конюшня ,1 799,Регион не выбран,1 089,https://www.detmir.ru/product/index/id/3596764/
10903,Конструктор LEGO DUPLO Town Пожарное депо ,4 499,Регион не выбран,3 219,https://www.detmir.ru/product/index/id/3142024/
41449,Конструктор LEGO Friends Дом семьи Андреа ,6 499,Регион не выбран,4 129,https://www.detmir.ru/product/index/id/3405550/
51515,Конструктор LEGO MINDSTORMS EV3 Робот-изобретатель ,31 999,Регион не выбран,18 989,https://www.detmir.ru/product/index/id/3244609/
10872,Конструктор LEGO DUPLO Town Железнодорожный мост ,2 199,Регион не выбран,1 349,https://www.detmir.ru/product/index/id/3092801/
43184,Конструктор LEGO Disney Princess Райя и дракон Сису ,2 599,Регион не выбран,1 639,https://www.detmir.ru/product/index/id/3498472/
75957,Конструктор LEGO Harry Potter Автобус Ночной рыцарь ,3 699,Регион не выбран,2 359,https://www.detmir.ru/product/index/id/3176053/
75551,Конструктор LEGO Minions Миньоны и дом ,4 699,Регион не выбран,2 819,https://www.detmir.ru/product/index/id/3244547/
75955,Конструктор LEGO Harry Potter Хогвартс-экспресс ,7 499,Регион не выбран,4 669,https://www.detmir.ru/product/index/id/3546360/
76125,Конструктор LEGO Marvel Super Heroes Лаборатория Железного человека ,5 499,Регион не выбран,3 329,https://www.detmir.ru/product/index/id/3156354/
10948,Конструктор LEGO DUPLO Town Гараж и автомойка ,8 999,Регион не выбран,5 399,https://www.detmir.ru/product/index/id/3596757/
71752,Конструктор LEGO Ninjago Спидер-амфибия ниндзя ,3 599,Регион не выбран,2 289,https://www.detmir.ru/product/index/id/3596976/
41439,Конструктор LEGO Friends Передвижной груминг-салон для кошек ,799,Регион не выбран,529,https://www.detmir.ru/product/index/id/3405553/
31113,Конструктор LEGO Creator Транспортировщик гоночных автомобилей ,2 199,Регион не выбран,1 349,https://www.detmir.ru/product/index/id/3405538/
75257,Конструктор LEGO Star Wars Episode IX Сокол Тысячелетия ,13 499,Регион не выбран,8 159,https://www.detmir.ru/product/index/id/3200892/
60261,Конструктор LEGO City Городской аэропорт ,4 499,Регион не выбран,2 869,https://www.detmir.ru/product/index/id/3244536/
71756,Конструктор LEGO Ninjago Подводный Дар Судьбы ,13 499,Регион не выбран,8 369,https://www.detmir.ru/product/index/id/3597020/
75953,Конструктор LEGO Harry Potter Гремучая ива ,6 499,Регион не выбран,3 949,https://www.detmir.ru/product/index/id/3122104/
42124,Конструктор LEGO Technic Квадроцикл ,12 499,Регион не выбран,7 419,https://www.detmir.ru/product/index/id/3405649/
41445,Конструктор LEGO Friends Машина скорой ветеринарной помощи ,2 599,Регион не выбран,1 609,https://www.detmir.ru/product/index/id/3405554/
10944,Конструктор LEGO DUPLO Town Экспедиция на шаттле ,1 499,Регион не выбран,959,https://www.detmir.ru/product/index/id/3590734/
71737,Конструктор LEGO Ninjago Ниндзя-перехватчик Х-1 ,4 499,Регион не выбран,2 679,https://www.detmir.ru/product/index/id/3405626/
60289,Конструктор LEGO City Great Vehicles Транспортировка самолёта на авиашоу ,2 499,Регион не выбран,1 599,https://www.detmir.ru/product/index/id/3405594/
41685,Конструктор LEGO Friends Американские горки на Волшебной ярмарке ,8 499,Регион не выбран,4 999,https://www.detmir.ru/product/index/id/3596785/
21169,Конструктор LEGO Minecraft ,5 499,Регион не выбран,3 629,https://www.detmir.ru/product/index/id/3405638/
42099,Конструктор LEGO Technic Экстремальный внедорожник ,19 999,Регион не выбран,11 159,https://www.detmir.ru/product/index/id/3188097/
76901,Конструктор LEGO Speed Champions Toyota GR Supra ,1 799,Регион не выбран,1 129,https://www.detmir.ru/product/index/id/3597037/
71750,Конструктор LEGO Ninjago Водный робот Ллойда ,1 699,Регион не выбран,1 059,https://www.detmir.ru/product/index/id/3596975/
43175,Конструктор LEGO Disney Princess Книга приключений Анны и Эльзы ,1 699,Регион не выбран,1 079,https://www.detmir.ru/product/index/id/3226644/
60283,Конструктор LEGO City Great Vehicles Отпуск в доме на колесах ,1 499,Регион не выбран,969,https://www.detmir.ru/product/index/id/3405588/
71747,Конструктор LEGO Ninjago Деревня Хранителей ,4 499,Регион не выбран,2 829,https://www.detmir.ru/product/index/id/3405622/
10961,Конструктор LEGO DUPLO Town Самолет и аэропорт ,2 499,Регион не выбран,1 499,https://www.detmir.ru/product/index/id/3596761/
71753,Конструктор LEGO Ninjago Атака огненного дракона ,4 499,Регион не выбран,2 839,https://www.detmir.ru/product/index/id/3596977/
